"Title","Context","Country","Document","Document type","Global cluster","HPC Document Repository","Life cycle steps","Media","Original publication date","Population Types","Post date","Published","Updated date","Description","Path","Nid"
"Assessment and Analysis Framework for Multi-Year Planning","","","https://assessments.hpc.tools/sites/default/files/km/AssessmentAnalysisFrameworkMultiyearPlanning-NAAS-10-08-16.pdf","Guidance","","Needs Assessment and Analysis, Response Analysis and Planning, Multi-year planning and nexus (joint-up planning and collective outcomes)","","","2016-08-16T00:00:00","","2019-04-16","Yes","2019-04-16","Multi-year planning is typically undertaken when:


	a crisis situation is progressing towards resolution, or
	a crisis situation is “frozen”.


In both cases, a reasonable degree of confidence on how the situation will evolve in the next 2-3 years can be achieved1. This does not preclude pockets of higher volatility in a given country or area, or unexpected changes in the situation. Ways to address these events can be integrated in the assessment and analysis approach for multi-year planning.
","/km/assessment-and-analysis-framework-multi-year-planning-0","6238"
"Guiding questions: 2019 HNO/HRP Lessons Learnt (Syria)","","Syrian Arab Republic","https://assessments.hpc.tools/sites/default/files/km/Syria_2019_HPC_Lessons_Learned_Check_List.docx","Example","","Needs Assessment and Analysis, Humanitarian Needs Overview (HNO), Response Analysis and Planning, Humanitarian Response Plan (HRP)","Lessons learned","","2019-04-17T00:00:00","","2019-04-17","Yes","2019-04-17","","/km/guiding-questions-2019-hnohrp-lessons-learnt-syria","6243"
"Lessons Learned 2019 Iraq HNO","","Iraq","https://assessments.hpc.tools/sites/default/files/km/2019%2001%2031%20HNO%20Lessons%20Learnt%20-%20FINAL.PDF, https://assessments.hpc.tools/sites/default/files/km/2019%2002%2027%20HNO%20LL%20Workshop%20Notes%20FINAL.PDF","Example","","Needs Assessment and Analysis, Humanitarian Needs Overview (HNO)","Lessons learned","","2019-01-31T00:00:00","","2019-04-17","Yes","2019-04-17","This document is a summary and compilation of the initial lessons learned from the 2019 Iraq HNO process. Initial inputs were collected from AWG members at the time of finalization of the HNO, but prior to the publication of the document on 12 November 2018. Additional feedback was collected from AWG and IMWG members on 28 January 2019 in a joint AWG-IMWG meeting. ICCG feedback was received and incorporated on 31 January 2019.
","/km/lessons-learned-2019-iraq-hno","6248"
"South Sudan Initial Rapid Needs Assessment (IRNA) tool","","South Sudan","https://assessments.hpc.tools/sites/default/files/km/IRNAReview2016.docx, https://assessments.hpc.tools/sites/default/files/km/IRNA%20questionnaire.docx, https://assessments.hpc.tools/sites/default/files/km/South%20Sudan%20-%20IRNA%20Methodology%20and%20Questionnaire%20August%202012.docx","Tool","","","Designing Primary Data Collection methods","","2019-04-17T00:00:00","","2019-04-17","Yes","2019-04-17","In June 2012, the South Sudan Humanitarian Country Team requested support to facilitate a series of coordinated assessment workshops to promote systematic use of the South Sudan Initial Rapid Needs Assessment (IRNA) tool. The workshops aimed to promote the IRNA joint assessment methodology by familiarizing humanitarian practitioners in South Sudan on the purpose and uses of the tool and to obtain feedback from intended end-users.
","/km/south-sudan-initial-rapid-needs-assessment-irna-tool","6253"
"Chad Multi-cluster/secteur Initial Rapid Assessment (MIRA) tool","","Chad","https://assessments.hpc.tools/sites/default/files/km/00_Toolkit%20TCHAD_DRAFT.zip","Tool","","","Establishing coordination to support coordinated assessments, Localise coordinated assessment strategy, Designing Primary Data Collection methods, Primary Data Collection, Data Processing and summary outputs, Process and coordination of joint analysis","","2016-04-17T00:00:00","","2019-04-17","Yes","2019-04-17","MIRA tool for Chad was developed for sudden crises. In addition it has the flexibility to be used to perform baseline assessments in regions with a low presence of humanitarian actors, or in the absence of data. This will enable both field teams to become familiar with the tools and to collect basic information whose analysis will facilitate decision-making at the strategic humanitarian forums.
","/km/chad-multi-clustersecteur-initial-rapid-assessment-mira-tool","6258"
"Afghanistan Household Emergency Assessment Tool (HEAT)","","Afghanistan","https://assessments.hpc.tools/sites/default/files/km/afg_household_emergency_assessment_tool_heat_-_fillable_pdf_version.pdf, https://assessments.hpc.tools/sites/default/files/km/HEAT_English_Persian.xls","Tool","","","Designing Primary Data Collection methods, Primary Data Collection","","2016-04-17T00:00:00","","2019-04-17","Yes","2019-04-17","The Household Emergency Assessment Tool (HEAT) is a multi-sector tool for all emergency response in Afghanistan intended to indicate emergency assistance needs. It replaced the previous separate PMT and RAF assessment tools with one single emergency needs assessment tool.

HR.Info pge: https://www.humanitarianresponse.info/en/operations/afghanistan/household-emergency-assessment-tool-heat
","/km/afghanistan-household-emergency-assessment-tool-heat","6263"
"CAR MIRA Tool","","Central African Republic","https://assessments.hpc.tools/sites/default/files/km/CAR%20MIRA.zip","Tool","","","Establishing coordination to support coordinated assessments, Designing Primary Data Collection methods, Localise coordinated assessment strategy, Primary Data Collection","","2019-04-17T00:00:00","","2019-04-17","Yes","2019-04-17","","/km/car-mira-tool","6268"
"Primary Data Collection Techniques","","","https://assessments.hpc.tools/sites/default/files/km/140519Toolkit%20KIDOCGD.pdf, https://assessments.hpc.tools/sites/default/files/km/140519Toolkit%20KIDOCGD_1_AR.pdf","Guidance","","","Primary Data Collection","","2018-05-12T00:00:00","","2019-04-17","Yes","2019-04-17","Primary data is data collected directly from the information source itself and has not undergone analysis before reaching the analytical phase of the needs assessment. Systematic observation and consultation of affected populations is undertaken during primary data collection to elicit community knowledge and perceptions. Assessment teams ask questions directly to the affected population through interviews and group discussions and of the affected area through observation. Using tools such as check-lists and questionnaires which are entered into spreadsheet or databases allows these information gathering processes to generate data to be aggregated, summarized, and interpreted later at the analysis stage. Primary data complements secondary data and lessons learned as information that feeds into an assessment.
","/km/primary-data-collection-techniques","6273"
"Syria Multi-Sectoral Needs Assessment (MSNA) Methodology","","Turkey","https://assessments.hpc.tools/sites/default/files/km/JointAssessment-Methodology_MSNA_Turkey_2014.docx","Example","","","Designing Primary Data Collection methods","","2019-04-17T00:00:00","","2019-04-17","Yes","2019-04-17","The overall purpose of the MultiSectoral Needs Assessment (MSNA) in Syria is to provide valid information at a strategic level to identify critical needs according to geographic areas and sectors, assessing most important issues and their underlying factors, the on-going humanitarian response, humanitarian access and identifying information gaps and needs.. The present document contains both the methodology as well as the terms of reference of the MultiSectoral Needs Assessment (MSNA) in Syria.
","/km/syria-multi-sectoral-needs-assessment-msna-methodology","6278"
"Joint Assessment Concept Note: The Syria Multi-Sector Needs Assessment (MSNA)","","Syrian Arab Republic","https://assessments.hpc.tools/sites/default/files/km/JointAssessment-ConceptNote_MSNA_Turkey_2014.docx","Example","","","Localise coordinated assessment strategy","","2019-04-17T00:00:00","","2019-04-17","Yes","2019-04-17","The Syria Multi Sector Needs Assessment (MSNA) is the joint effort of the humanitarian community based in Turkey to conduct a multi-organisation, multi-sector humanitarian needs assessment in accessible areas in Syria. 
","/km/joint-assessment-concept-note-syria-multi-sector-needs-assessment-msna","6283"
"Joint Assessment Concept Note: Central African Republic MIRA","","Central African Republic","https://assessments.hpc.tools/sites/default/files/km/JointAssessment-ConceptNote_MIRA_CAR_2013.docx","Example","","","Localise coordinated assessment strategy","","2019-04-17T00:00:00","","2019-04-17","Yes","2019-04-17","","/km/joint-assessment-concept-note-central-african-republic-mira","6288"
"Assessment Working Group (AWG) – Terms of Reference and Work Plan (Syria context)","","Syrian Arab Republic","https://assessments.hpc.tools/sites/default/files/km/AWG-TOR_SAMI_Turkey_2014_0.docx, https://assessments.hpc.tools/sites/default/files/km/AWG-Workplan_SAMI_Turkey_2013.docx","Example","","","Establishing coordination to support coordinated assessments","","2016-04-17T00:00:00","","2019-04-17","Yes","2019-04-17","The Syria Assessment and Monitoring Initiative (SAMI) aims to be a multi-sector, multi-stakeholder group that supports a process to ensure the provision of timely, credible and useful information and analysis to inform decisions related to the humanitarian situation in Syria.
","/km/assessment-working-group-awg-%E2%80%93-terms-reference-and-work-plan-syria-context","6293"
"Multi-Year Humanitarian Planning (MYP) Tip Sheet for OCHA Country/Regional Offices","","","https://assessments.hpc.tools/sites/default/files/km/myhrp_tip_sheet_update_13_nov_2018.pdf","Guidance","","Response Analysis and Planning, Multi-year planning and nexus (joint-up planning and collective outcomes)","","","2018-11-13T00:00:00","","2019-04-17","Yes","2019-04-17","A multi-year HRP (MYP) can be used for planning and coordinating the delivery of humanitarian aid in protracted crises. It differs from a traditional HRP in its focus on establishing a response strategy beyond one year. A MYP can facilitate a more effective humanitarian response through more predictable and realistic/appropriate operational arrangements and a greater focus on the sustainability of results. It also ensures enhanced complementarity with development assistance and other frameworks.

A MYP takes into account the impact that humanitarian and development assistance are expected to have over time in contexts where crises are likely to continue over the medium to long term, or in contexts where there is a clear scope to accelerate the exit from humanitarian assistance by planning on a longer timeframe. In order to be successful, a multi-year HRP requires development action to be at-scale and target the most vulnerable people down to the local level. This would contribute to breaking the cycle of humanitarian dependence and allow for a phased transfer of caseloads, whenever appropriate, from the multi-year HRP to development planning frameworks, such as the UNDAF. In many cases, this requires more risk tolerance, earlier engagement, and more flexible and context-adaptable programming by development actors. It may also require the MYP to clarify steps that will be taken to ensure a boost in development action (e.g. advocacy, capacity building, etc).

Multi-year planning does not solicit humanitarian partners to get involved in the implementation of development plans or programmes. It encourages them to collaborate more effectively with development and other partners at the analysis and planning stages, and to advocate for development partners’ earlier or staggered engagement in crisis contexts, to address the structural and chronic causes of humanitarian needs. Given longer decision and implementation cycles for development programming, a MYP also offers development actors a longer time window within which to interact with humanitarian programming processes and, where possible, adapt development programming over time. 
","/km/multi-year-humanitarian-planning-myp-tip-sheet-ocha-countryregional-offices","6418"
"Flash Appeal guidance and templates","","","https://assessments.hpc.tools/sites/default/files/km/fa-empty_template_0.pdf, https://assessments.hpc.tools/sites/default/files/km/fa-guidance_and_annotated_template.pdf, https://assessments.hpc.tools/sites/default/files/km/fa_template_resources.zip, https://assessments.hpc.tools/sites/default/files/km/fa_template_word_versions_0.zip, https://assessments.hpc.tools/sites/default/files/km/fa_template_indesign_versions_0.zip","Guidance","","Response Analysis and Planning, Flash Appeal","","","2019-04-17T00:00:00","","2019-04-17","Yes","2019-04-17","A Flash Appeal is triggered for sudden onset disasters, when the crisis surpasses the ability of the government and any one agency to respond adequately. A Flash Appeal is also issued when an L3-crisis is declared. According to GA Resolution 46/182, a FA should be issued within the shortest possible time and in any event not longer than one week after the crisis.
","/km/flash-appeal-guidance-and-templates","6423"
"HRP Costing Methodology Options","","","https://assessments.hpc.tools/sites/default/files/km/hrp_costing_methodology_options.pdf","Guidance","","Response Analysis and Planning, Humanitarian Response Plan (HRP), Costing methodology","","","2017-04-17T00:00:00","","2019-04-17","Yes","2019-04-17","This guidance/tip sheet is elaborated as a follow up to the Principal’s decision on improving HRP costing in July 2017. This is a living document that will be updated as more knowledge and experience of costing is gathered. In particular, the cluster-specific guidance part will be updated whenever relevant information is provided by the GCCs.
","/km/hrp-costing-methodology-options","6428"
"Coordinated Assessment and Information Management Training (CAIM) Training Module - 2020","","","https://assessments.hpc.tools/sites/default/files/km/CAIM%20Training%20Manual%202020.pdf","Capacity Building","","Needs Assessment and Analysis","Establishing coordination to support coordinated assessments, Determining current state of needs assessment, Understanding of context and enabling factors, Availability of needs & response data and information gaps, Localise coordinated assessment strategy, Establishing context specific baseline, Designing Secondary Data Review (SDR) methods, Designing Primary Data Collection methods, Estimation of Humanitarian Population figures, Secondary data collection and analysis, Primary Data Collection, Data Processing and summary outputs, Basic data analysis, Process and coordination of joint analysis, Summarising and interpretation of inter-sectoral analysis, Prioritising and informing decisions","","2020-02-23T00:00:00","","2020-03-11","Yes","2020-03-11","CAIM training manual has been developed by NARAS, APMB, OCHA Geneva. The manual equips participants with a set of competencies and tools that allows them to:


	establish coordination mechanisms for intersectoral and sectoral need assessment and analysis;
	to guide operational decision-making, and
	complement monitoring of the overall humanitarian situation and the performance of the humanitarian response.

","/km/coordinated-assessment-and-information-management-training-caim-training-module-2020","11303"
"IASC Humanitarian System-wide Scale-up Protocols","","","https://assessments.hpc.tools/sites/default/files/km/protocol_1.pdf, https://assessments.hpc.tools/sites/default/files/km/protocol_2.pdf, https://assessments.hpc.tools/sites/default/files/km/iasc_scale-up_faqs.pdf, https://assessments.hpc.tools/sites/default/files/km/scale-up_timeline.pdf","Guidance","","","Understanding of context and enabling factors, Establishing coordination to support coordinated assessments","","2018-11-11T00:00:00","","2020-03-11","Yes","2020-03-11","The IASC Principals have agreed that major sudden-onset crises and/or substantial deterioration of a humanitarian situation triggered by natural and human-induced hazards1 or conflict, which require system-wide mobilization are to be subject to a Humanitarian System-Wide Scale-Up Activation (henceforth referred to as ‘Scale-Up activation’). This exceptional measure shall only be applied for a time-bound period of up to six months where the gravity of the humanitarian situation justifies the mobilization of system-wide capacities and resources, beyond standard levels, to respond to critical humanitarian needs on the ground. Only in exceptional situations shall one additional three-month extension be considered.

The key documents are:


	Protocol 1: Humanitarian System-Wide Scale-Up Activation - Definition and Procedures
	Protocol 2: ‘Empowered Leadership’ in a Humanitarian System-Wide Scale-Up Activation
	Frequently Asked Questions on the Humanitarian System-Wide Scale-Up Activation
	Scale-up Activation Timeline (infographic)

","/km/iasc-humanitarian-system-wide-scale-protocols","11308"
"Approaches to determining People Reached","","","https://assessments.hpc.tools/sites/default/files/km/guidance_on_people_reached_-_august_2019.pdf","Guidance","","Response Analysis and Planning, Humanitarian Response Plan (HRP), Monitoring, Response Monitoring, People Reached","Availability of needs & response data and information gaps","","2019-08-11T00:00:00","All affected population","2020-03-11","Yes","2020-03-11","Just as with ‘People in need’ and ‘people targeted’, ‘People reached’ and ‘people covered’ are concepts which can be applied at various levels within a response plan: at the activity, sector, objective and plan levels.
","/km/approaches-determining-people-reached","11313"
"Common Operational Datasets (CODs) Toolbox","Rural, Urban","","","Guidance","","","Establishing context specific baseline","","2017-03-11T00:00:00","All affected population","2020-03-11","Yes","2020-03-11","Common Operational Datasets (CODs) are authoritative reference datasets needed to support operations and decision-making for all actors in a humanitarian response. CODs are 'best available' datasets that ensure consistency and simplify the discovery and exchange of key data. Core CODs are required in all disaster-prone countries as a preparedness measure, including administrative boundaries (COD-AB), sex and age-disaggregated population data (COD-PS), and humanitarian profile (caseload)(COD-HP).

Please visit CODs section on OCHA IM Toolbox for more guidance. 
","/km/common-operational-datasets-cods-toolbox","11318"
"Iraq Humanitarian Needs Assessments Strategy - 2019","Rural, Urban","Iraq","https://assessments.hpc.tools/sites/default/files/km/2019%20Assessment%20Strategy%20-%20FINAL%20%2822%20May%202019%29.pdf","Example","","","Establishing coordination to support coordinated assessments","","2019-05-11T00:00:00","All affected population","2020-03-11","Yes","2020-03-11","This document was prepared at the request of the Iraq Humanitarian Country Team (HCT) to ensure robust evidence to inform an increasingly prioritized humanitarian response. The strategy provides an overall direction of Iraq HCT’s commitment to the Grand Bargain and links the decision-making processes and existing information systems. It builds on existing coordination structure, available tools and tested methodologies in Iraq, while taking into account what is feasible in terms of capacity, to improve assessment preparedness and evidence-based response. Improvements can be considered if new tools/methodologies/approaches emerge throughout 2019.
","/km/iraq-humanitarian-needs-assessments-strategy-2019","11323"
"**Test doc to check HPC Docs filters**","","","","","","Preparedness, ERP community of practice, Early Action, Needs Assessment and Analysis, Humanitarian Needs Overview (HNO), Situational Analysis, Predictive and Risk Analysis, Response Analysis and Planning, Humanitarian Response Plan (HRP)","","","2020-03-11T00:00:00","","2020-03-11","Yes","2020-03-11","######TEST############
","/km/test-doc-check-hpc-docs-filters","11328"
"Analytical Framework - Ethiopia HNO 2019","","Ethiopia","https://assessments.hpc.tools/sites/default/files/km/ETHIOPIA%20Analytical%20Framework%20HNO2019.xlsx","Example","","Needs Assessment and Analysis, Humanitarian Needs Overview (HNO)","Availability of needs & response data and information gaps","","2019-08-11T00:00:00","All affected population","2020-03-11","Yes","2020-03-11","Example of the Analytical Framework used for Ethiopia HNO 2019
","/km/analytical-framework-ethiopia-hno-2019","11333"
"Other Country CODs examples","","","https://assessments.hpc.tools/sites/default/files/km/Other%20Country%20CODs%20in%20different%20hazards.docx","Example","","","Establishing context specific baseline","","2018-05-11T00:00:00","","2020-03-11","Yes","2020-03-11","","/km/other-country-cods-examples","11338"
"Analytical Framework Review Report ","","","https://assessments.hpc.tools/sites/default/files/km/170902%20Analytical%20Framework%20Review.pdf","","","Joint Inter-Sectoral Analysis Framework (JIAF), Needs Assessment and Analysis, Humanitarian Needs Overview (HNO)","Summarising and interpretation of inter-sectoral analysis","","2017-08-17T00:00:00","","2020-03-11","Yes","2020-03-11","The Joint Intersectoral Analysis Group (JIAG) commenced work focusing on 2 pillars:


	Refinement or development of methods and tools
	Conduct of joint inter-sectoral analyses in crisis contexts.


Key to Pillar 1 is the development of an analytical model for inter-sectoral analysis, to assist with the identification of inter-linkages between various factors and sectors resulting in given outcomes for the lives and livelihoods of crisis-affected people. This model should have a foundation in current best practices in needs analysis and adapted to address requirements across all sectors.
In order to build this foundation, existing analysis frameworks must be reviewed, analysed and compared. The results of the review will then be used for developing an analysis framework for inter-sectoral understanding of needs and the factors related to needs.
","/km/analytical-framework-review-report","11343"
"Initial Assessment Report - Tropical Cyclone IDAI","","Mozambique","https://assessments.hpc.tools/sites/default/files/km/Initial%20_assessment_report_dondo_24.pdf","Example","SHL, FSC, HEA, WSH","","Localise coordinated assessment strategy","","2019-03-25T00:00:00","All affected population","2020-03-11","Yes","2020-03-11","Initial Assessment Report Tropical Cyclone IDAI | Mozambique | District of Dondo

Tropical Cyclone Idai made landfall during the night of 14th to 15th March 2019 in the district of Dondo (nearby the city of Beira) in the Province of Sofala, in central Mozambique. Dondo is a distict within Sofala province with a population close to 185,000 according to the 2017 census (Instituto Nacional de Estatística, 2017). Due to its close proximity to the Beira Emergency Operation Center and relative accessibility the first inter-agnecy initial assessment was conducted on 24 March targeting 24 communites.
","/km/initial-assessment-report-tropical-cyclone-idai","11348"
"Basic Needs Assessment Guidance & Toolbox","","","https://assessments.hpc.tools/sites/default/files/km/basic-needs-assessment-how-to.pdf","Guidance","","","Localise coordinated assessment strategy, Designing Primary Data Collection methods, Primary Data Collection","","2018-04-12T00:00:00","","2020-03-12","Yes","2020-03-12","The How-to Guide describes the sequence of practical steps necessary to ensure a successful Basic Needs Assessment (BNA) during emergencies, from initiation of the BNA up to reporting and dissemination of the final findings.
","/km/basic-needs-assessment-guidance-toolbox","11413"
"Humanitarian Needs Assessment - The Good Enough Guide","","","https://assessments.hpc.tools/sites/default/files/km/humanitarian_needs_assessment-the_good_enough_guide_2014.pdf","Guidance","","","Localise coordinated assessment strategy, Designing Primary Data Collection methods, Primary Data Collection, Basic data analysis, Process and coordination of joint analysis","","2014-03-12T00:00:00","","2020-03-12","Yes","2020-03-12","","/km/humanitarian-needs-assessment-good-enough-guide","11418"
"Review of 2018 MSNAs ","","","https://assessments.hpc.tools/sites/default/files/km/MSNAReview-Final-2019.pdf","Lessons Learned","","","Lessons learned","","2019-03-12T00:00:00","All affected population","2020-03-12","Yes","2020-03-12","In 2016, the Grand Bargain identified a lack of comprehensive and cross-sectoral assessments to inform crisis-wide humanitarian strategic decisions. In 2018, in recognition of the impetus from the Grand Bargain, REACH initiated and technically led, in close consultation with OCHA and UNHCR (in refugee contexts), 8 Multi-sector Needs Assessments in Afghanistan, Iraq, Libya, Nigeria, Uganda, Ukraine, Somalia and Yemen. This review found that these multi sector needs assessments (MSNAs) are gaining acceptance and increasingly mainstreamed as a tool to bolster the evidence base of consolidated planning and appeal processes such as the Humanitarian Needs Overviews (HNO) and Humanitarian Response Plans (HRP).
","/km/review-2018-msnas","11423"
"Types of Needs Assessment and Methodology ","Rural, Urban","","https://assessments.hpc.tools/sites/default/files/km/Types%20of%20Needs%20Assessment%20and%20Methodology%20Summary.docx","Guidance","","","Designing Primary Data Collection methods","","2017-05-12T00:00:00","All affected population","2020-03-12","Yes","2020-03-12","A summary document, taken from UNHCR Needs Assessment handbook, about diffrerent types of needs assessment (initial, rapid and in-depth) and their respective methodologies. 
","/km/types-needs-assessment-and-methodology","11428"
"Burundi - Data Collection Tools","","Burundi","https://assessments.hpc.tools/sites/default/files/km/BDI_Direct%20Observation%20Checklist_Makamba.docx, https://assessments.hpc.tools/sites/default/files/km/BDI_Lignes_directrices_Makamba.docx, https://assessments.hpc.tools/sites/default/files/km/BDI_Questionnaire_Informateurs-cle_Makamba.doc, https://assessments.hpc.tools/sites/default/files/km/Makamba_Evaluation_DO_XLSForms.xlsx, https://assessments.hpc.tools/sites/default/files/km/Makamba_Evaluation_KI_XLSForms.xlsx","Tool","","","Designing Primary Data Collection methods","","2016-01-12T00:00:00","All affected population","2020-03-12","Yes","2020-03-12","Direct observation and Key Informant data collection tools
","/km/burundi-data-collection-tools","11433"
"Rapid Assessment Questionnaire - Community level","","","https://assessments.hpc.tools/sites/default/files/km/World%20Vision%20Rapid%20Assessment%20Questionnaire%20-Community%20level.doc","Tool","","","Designing Primary Data Collection methods","","2020-03-12T00:00:00","","2020-03-12","Yes","2020-03-12","Immediate Assessment Tool, at community level, developed by World Vision.
","/km/rapid-assessment-questionnaire-community-level","11438"
"Ukraine - Affected Population and Direct Observation Module Tool","","Ukraine","https://assessments.hpc.tools/sites/default/files/km/EN_Questionnaire%20Affected%20population%20module_V2-3.docx, https://assessments.hpc.tools/sites/default/files/km/EN_Questionnaire%20Observation%20module_V3-5.docx","Tool","","","Designing Primary Data Collection methods","","2015-03-12T00:00:00","","2020-03-12","Yes","2020-03-12","","/km/ukraine-affected-population-and-direct-observation-module-tool","11443"
"South Sudan IRNA - Cluster Specific Tools","","South Sudan","https://assessments.hpc.tools/sites/default/files/km/Education.docx, https://assessments.hpc.tools/sites/default/files/km/FSL.docx, https://assessments.hpc.tools/sites/default/files/km/Health.docx, https://assessments.hpc.tools/sites/default/files/km/NFI-ES.docx, https://assessments.hpc.tools/sites/default/files/km/Nutrition.docx, https://assessments.hpc.tools/sites/default/files/km/Protection.docx, https://assessments.hpc.tools/sites/default/files/km/WASH.docx","Tool","EDU, SHL, FSC, HEA, NUT, PRO, WSH","","Designing Primary Data Collection methods","","2016-03-12T00:00:00","All affected population","2020-03-12","Yes","2020-03-12","","/km/south-sudan-irna-cluster-specific-tools","11448"
"Microsoft Excel basics for data summary and visualization","","","https://assessments.hpc.tools/sites/default/files/km/Microsoft%20Excel%20for%20OCHA%20IMOs.docx","Example","","","Data Processing and summary outputs, Basic data analysis","","2016-03-12T00:00:00","","2020-03-12","Yes","2020-03-12","Excel is an incredibly powerful tool and basic proficiency is critical for all OCHA IMOs.  Excel is used by OCHA IMOs in data collection, processing, analysis and in the creation of graphics for dissemination of information. This guide identifies the most commonly used functions, formulas and add-ins used by an OCHA IMO.  There is extensive guidance material and videos available on the internet for those who need greater explanation or would like to dive into the more advanced skills. 

Topics Covered


	Resources and Links
	How to work in Excel
	Drop Down List
	Pivot Tables
	Common Excel Functions
	Excel Tables
	Excel Macro Recorder
	Cascading dropdown in Excel

","/km/microsoft-excel-basics-data-summary-and-visualization","11453"
"Kobo Toolbox Manual","","Senegal","https://assessments.hpc.tools/sites/default/files/km/Kobo%20toolbox%20v2.pdf","Guidance","","","Designing Primary Data Collection methods, Primary Data Collection, Data Processing and summary outputs, Basic data analysis","","2019-09-12T00:00:00","","2020-03-12","Yes","2020-03-12","A detailed Kobo toolbox manual prepared by OCHA ROWCA office in Dakar.

Topics covered:


	Create / edit form
	View and download data
	How to install koo on Android
	Connect Excel to Kobo to get data automatically
	Connect excel to kobo data

","/km/kobo-toolbox-manual","11458"
"How to connect Kobo data to Power BI","","Senegal","https://assessments.hpc.tools/sites/default/files/km/Get%20submitted%20kobo%20data%20on%20power%20bi.pdf, https://assessments.hpc.tools/sites/default/files/km/R%C3%A9cup%C3%A9rer%20les%20donn%C3%A9es%20soumises%20sur%20kobo%20dans%20power%20bi.pdf","Guidance","","","Data Processing and summary outputs, Basic data analysis","","2019-09-12T00:00:00","","2020-03-12","Yes","2020-03-12","Guidance prepared by OCHA ROWCA office in Dakar on how to connect and receive data in Power BI using Kobo API. (English and French versions)
","/km/how-connect-kobo-data-power-bi","11463"
"Data Entry and Exploratory Platform (DEEP) User Guide","","","https://assessments.hpc.tools/sites/default/files/km/The%20DEEP.pptx","Guidance","","","Designing Secondary Data Review (SDR) methods, Secondary data collection and analysis","","2016-03-12T00:00:00","","2020-03-12","Yes","2020-03-12","DEEP is an intelligent web-based platform offering a suite of collaborative tools tailored towards humanitarian crisis responses. It includes common analysis workflows and frameworks for thinking using both structured and unstructured, quantitative and qualitative data. By using a customizable analysis frameworks, users can easily catalog information contained in large amounts of documents and export it to a variety of formats. Supporting this, DEEP has a long term vision of using text analysis techniques in order to streamline the process of sourcing information from online sources and semi-automating document information extraction. Although the platform is meant to be a collaborative space, it is open-source and available to be deployed in private server environments. Data in DEEP is visible only to users granted access to a project space and is stored using modern web technology standards.

For more information on how to use DEEP, please follow the link below:
https://deephelp.zendesk.com/hc/en-us/categories/360000874911-DEEP-User-Guide

 
","/km/data-entry-and-exploratory-platform-deep-user-guide","11468"
"The IFRC revised Approach for Leading Emergency Assessment and planning (LEAP)","","","https://assessments.hpc.tools/sites/default/files/km/IFRC%20Approach%20for%20Assessment%20and%20Planning%20in%20Emergencies_HIAC.pdf","Example","","","Designing Secondary Data Review (SDR) methods, Designing Primary Data Collection methods","","2020-03-12T00:00:00","","2020-03-12","Yes","2020-03-12","The powerpoint provide an understanding of  IFRC newly revised approach for Leading Emergency Assessment and planning (LEAP).
","/km/ifrc-revised-approach-leading-emergency-assessment-and-planning-leap","11473"
"Optional guidance on PiN estimation by Humanitarian Consequences","","","https://assessments.hpc.tools/sites/default/files/km/EnhancedHPC-EstimMethodPiN-Final-18-09-19.pdf","Guidance","","Humanitarian Conditions, Needs Assessment and Analysis, Humanitarian Needs Overview (HNO), People Affected / People in Need","Estimation of Humanitarian Population figures","","2019-09-09T00:00:00","","2020-03-12","Yes","2020-03-12","This note is intended to provide optional guidance on calculating People in Need (PiN) for the 2020 HNO. While contributions to this note come from multiple agencies, organizations and clusters, the guidance within is not formally endorsed and is intended only to support the PiN calculation element of the HNO process during a transitional year for the Humanitarian Programme Cycle. Decisions for PiN calculation should be made at the country level, and optional guidance the methods provided here should not preclude those decisions already taken. The only requirement is that PiN figures that quantify humanitarian consequences of the crisis must be the result.
","/km/optional-guidance-pin-estimation-humanitarian-consequences","11478"
"Key Messages for ICCs & HPC Focal Points - Revised HPC Templates for 2020","","","https://assessments.hpc.tools/sites/default/files/km/HPC%202020%20-%20Key%20Messages%20for%20HPC%20Focal%20Points.pdf","Guidance","","Needs Assessment and Analysis, Humanitarian Needs Overview (HNO), Response Analysis and Planning, Humanitarian Response Plan (HRP)","","","2019-04-19T00:00:00","","2020-03-12","Yes","2020-03-12","The humanitarian community and donors have acknowledged progress in improving the quality and credibility of Humanitarian Needs Overviews (HNOs) and Humanitarian Response Plans (HRPs). At the same time, there was recognition that some elements warranted further attention. Throughout 2018, UN Agencies and NGOs came together to diagnose existing and emerging challenges, and associated solutions, to strengthen HPC-related processes and products.
The result of this work is a set of revised HPC templates with associated Step-by-Step guide. These serve to update existing guidance, integrating developments achieved over recent years on needs assessment and response planning, as well as commitments made at the World Humanitarian Summit and Grand Bargain. The Step-by-Step guide also provides important information on sequencing to ensure appropriate linkages between HNOs, HRPs and ongoing monitoring of the situation, needs and results.
","/km/key-messages-iccs-hpc-focal-points-revised-hpc-templates-2020","11483"
